date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:28:50	293/293	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%229e04e50823d5125b5089fc7812b332f4%22	https://cdn.prod.website-files.com/667e000bfde882eaac3b091e/667e03ad953b49258bb13a34_Vector%20(9).svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/667e000bfde882eaac3b091e/667e03ad953b49258bb13a34_Vector%20(9).svg	(from https://)
17:28:50	25658/25658	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224b71ef45df1757e5b82550e56301f639%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671a95076b685f797301331d_image%20188.svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671a95076b685f797301331d_image%20188.svg	(from https://)
17:28:50	20919/20919	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2247f3feea1c96f5cdad822a8f923c10b4%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671a97f55941485a40965baf_green%20logo.svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671a97f55941485a40965baf_green%20logo.svg	(from https://)
17:28:51	3526622/3526622	---M--	200	added ('OK')	image/png	etag:%224bcc97b918cc02543f86abba69714e26%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671a9f3e378cf4ee8b4dab96_222.png	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671a9f3e378cf4ee8b4dab96_222.png	(from https://)
17:28:51	20545/20545	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2288fd8aa1e62789293bea36215f9934fd%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671a97f521e8900cec0048d5_white%20logo.svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671a97f521e8900cec0048d5_white%20logo.svg	(from https://)
17:28:51	3514990/3514990	---M--	200	added ('OK')	image/png	etag:%22b7be428fcc6a01f76a8b89d9152004e9%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671a9f3ec26d4c7ca44ca39b_333.png	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671a9f3ec26d4c7ca44ca39b_333.png	(from https://)
17:28:51	75084/75084	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2006:51:43%20GMT	https://internal-services/artificial-turf	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025//internal-services/artificial-turf.html	(from https://)
17:28:52	76692/76692	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2011:08:30%20GMT	https://internal-services/sod-installation	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025//internal-services/sod-installation.html	(from https://)
17:28:52	76332/76332	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2011:08:30%20GMT	https://internal-services/retaining-walls	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025//internal-services/retaining-walls.html	(from https://)
17:28:53	74626/74626	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2011:08:30%20GMT	https://internal-services/landscape-design	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025//internal-services/landscape-design.html	(from https://)
17:28:53	74074/74074	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2007:57:46%20GMT	https://internal-services/landscaping	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025//internal-services/landscaping.html	(from https://)
17:28:53	75603/75603	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2011:08:30%20GMT	https://internal-services/landscape-lighting	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025//internal-services/landscape-lighting.html	(from https://)
17:28:53	75459/75459	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2008:15:43%20GMT	https://internal-services/hardscape	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025//internal-services/hardscape.html	(from https://)
17:28:54	75370/75370	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2011:08:30%20GMT	https://internal-services/water-features	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025//internal-services/water-features.html	(from https://)
17:28:54	75920/75920	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2006:54:00%20GMT	https://internal-services/drainage-solutions	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025//internal-services/drainage-solutions.html	(from https://)
17:28:54	75910/75910	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2011:08:20%20GMT	https://internal-services/concrete-installation	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025//internal-services/concrete-installation.html	(from https://)
17:28:55	75643/75643	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2011:08:20%20GMT	https://internal-services/sprinkler-system-installation	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025//internal-services/sprinkler-system-installation.html	(from https://)
